SampleName_TF-prey,Treatment-1_TF batch,Treatment-2_DNA-bait,Treatment-3_Day,Treatment-4_Experimental method,Treatment-5_Plate,Bio-replicate Treatment_Bio-rep,Signal
SampleName-1_LargeScale.csv,Treatment-1_TF batch#1_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-001_LargeScale.csv
SampleName-1_LargeScale.csv,Treatment-1_TF batch#1_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-002_LargeScale.csv
SampleName-2_LargeScale.csv,Treatment-1_TF batch#2_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-003_LargeScale.csv
SampleName-2_LargeScale.csv,Treatment-1_TF batch#2_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-004_LargeScale.csv
SampleName-3_LargeScale.csv,Treatment-1_TF batch#3_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-005_LargeScale.csv
SampleName-3_LargeScale.csv,Treatment-1_TF batch#3_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-006_LargeScale.csv
SampleName-4_LargeScale.csv,Treatment-1_TF batch#4_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-007_LargeScale.csv
SampleName-4_LargeScale.csv,Treatment-1_TF batch#4_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#2_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-008_LargeScale.csv
SampleName-1_LargeScale.csv,Treatment-1_TF batch#1_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-009_LargeScale.csv
SampleName-1_LargeScale.csv,Treatment-1_TF batch#1_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-010_LargeScale.csv
SampleName-2_LargeScale.csv,Treatment-1_TF batch#2_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-011_LargeScale.csv
SampleName-2_LargeScale.csv,Treatment-1_TF batch#2_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-012_LargeScale.csv
SampleName-3_LargeScale.csv,Treatment-1_TF batch#3_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-013_LargeScale.csv
SampleName-3_LargeScale.csv,Treatment-1_TF batch#3_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#2_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-014_LargeScale.csv
SampleName-4_LargeScale.csv,Treatment-1_TF batch#4_LargeScale.csv,Treatment-2_DNA-bait#1_LargeScale.csv,Treatment-3_Day#1_LargeScale.csv,Treatment-4_Experimental method#1_LargeScale.csv,Treatment-5_Plate#1_LargeScale.csv,Bio-replicate Treatment_LargeScale.csv,Signal-015_LargeScale.csv
