"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,57,"None","A",1,0,0,0,0,0,0,0,,
1,57,"None","A",2,0,0,0,0,0,0,0,,
1,57,"None","A",3,382,0.9503,252.417103,0.5,253,253,249,,
1,57,"None","A",4,422,0.9408,252.542654,0.7,253,253,250,,
1,57,"None","A",5,0,0,0,0,0,0,0,,
1,57,"None","A",6,0,0,0,0,0,0,0,,
1,57,"None","A",7,0,0,0,0,0,0,0,,
1,57,"None","A",8,0,0,0,0,0,0,0,,
1,57,"None","A",9,149,0.9128,250.49217,0.6,251,252,247,,
1,57,"None","A",10,143,0.9301,252.2727273,0.9,253,253,249,,
1,57,"None","A",11,0,0,0,0,0,0,0,,
1,57,"None","A",12,0,0,0,0,0,0,0,,
1,57,"None","A",13,0,0,0,0,0,0,0,,
1,57,"None","A",14,0,0,0,0,0,0,0,,
1,57,"None","A",15,874,0.9668,252.6906941,0.4,253,253,250,,
1,57,"None","A",16,369,0.9566,252.6377597,0.6,253,253,250,,
1,57,"None","A",17,0,0,0,0,0,0,0,,
1,57,"None","A",18,0,0,0,0,0,0,0,,
1,57,"None","A",19,0,0,0,0,0,0,0,,
1,57,"None","A",20,0,0,0,0,0,0,0,,
1,57,"None","A",21,209,0.9282,250.9362041,0.8,252,252,247,,
1,57,"None","A",22,244,0.9426,252.2076503,0.5,253,254,248,,
1,57,"None","A",23,0,0,0,0,0,0,0,,
1,57,"None","A",24,0,0,0,0,0,0,0,,
1,57,"None","B",1,0,0,0,0,0,0,0,,
1,57,"None","B",2,0,0,0,0,0,0,0,,
1,57,"None","B",3,405,0.9827,251.3473251,1,253,253,247,,
1,57,"None","B",4,396,0.9495,252.5387205,0.5,253,253,250,,
1,57,"None","B",5,0,0,0,0,0,0,0,,
1,57,"None","B",6,0,0,0,0,0,0,0,,
1,57,"None","B",7,0,0,0,0,0,0,0,,
1,57,"None","B",8,0,0,0,0,0,0,0,,
1,57,"None","B",9,109,0.9174,251.559633,0.9,253,253,248,,
1,57,"None","B",10,99,0.9293,251.9494949,0.7,253,253,248,,
1,57,"None","B",11,0,0,0,0,0,0,0,,
1,57,"None","B",12,0,0,0,0,0,0,0,,
1,57,"None","B",13,0,0,0,0,0,0,0,,
1,57,"None","B",14,0,0,0,0,0,0,0,,
1,57,"None","B",15,342,0.9269,252.3235867,0.5,253,253,249,,
1,57,"None","B",16,381,0.9423,252.5406824,0.5,253,253,249,,
1,57,"None","B",17,0,0,0,0,0,0,0,,
1,57,"None","B",18,0,0,0,0,0,0,0,,
1,57,"None","B",19,0,0,0,0,0,0,0,,
1,57,"None","B",20,0,0,0,0,0,0,0,,
1,57,"None","B",21,156,0.891,247.8974359,1.2,250,250,243,,
1,57,"None","B",22,159,0.8994,247.6834382,1.1,250,250,242,,
1,57,"None","B",23,0,0,0,0,0,0,0,,
1,57,"None","B",24,0,0,0,0,0,0,0,,
