"Run","Plate","Type","Row","Col","Size","Circularity","Brightness","Redness","Avg..Red","Avg..Blue","Avg..Green","Multi","Gene"
1,74,"None","A",1,323,0.9474,243.6769866,0.9,245,246,238,,
1,74,"None","A",2,273,0.9414,241.1880342,0.9,243,243,236,,
1,74,"None","A",3,231,0.9437,242.8556999,0.8,244,245,238,,
1,74,"None","A",4,226,0.8982,249.3421829,0.9,251,251,244,,
1,74,"None","A",5,259,0.9344,251.6769627,1.1,253,253,247,,
1,74,"None","A",6,255,0.949,250.6,1.1,252,252,246,,
1,74,"None","A",7,255,0.9137,251.6614379,0.5,253,254,247,,
1,74,"None","A",8,262,0.9809,246.0801527,0.3,247,248,242,,
1,74,"None","A",9,236,0.9831,249.9788136,0.3,251,251,246,,
1,74,"None","A",10,236,0.9619,244.5183616,0.7,246,246,240,,
1,74,"None","A",11,250,0.944,249.0826667,0.8,250,250,245,,
1,74,"None","A",12,252,0.9563,249.0489418,0.6,250,251,245,,
1,74,"None","A",13,249,0.9357,251.8273092,0.7,253,254,247,,
1,74,"None","A",14,233,0.9356,249.7410587,0.7,251,251,245,,
1,74,"None","A",15,219,0.9726,247.0106545,0.8,249,249,242,,
1,74,"None","A",16,210,0.9571,250.331746,1.4,252,252,245,,
1,74,"None","A",17,228,0.9518,242.7002924,1.4,245,244,237,,
1,74,"None","A",18,245,0.902,247.247619,1.3,249,250,241,,
1,74,"None","A",19,247,0.8988,244.0755735,1.4,246,246,238,,
1,74,"None","A",20,231,0.9437,245.1803752,1.5,248,248,238,,
1,74,"None","A",21,214,0.9626,230.7975078,1.3,233,234,224,,
1,74,"None","A",22,199,0.9196,239.6834171,1.8,242,242,233,,
1,74,"None","A",23,198,0.9192,243.2239057,1.4,246,246,236,,
1,74,"None","A",24,256,0.9297,224.1419271,1.5,227,227,217,,
1,74,"None","B",1,259,0.9459,244.3050193,1.2,246,247,238,,
1,74,"None","B",2,202,0.896,246.1105611,1.2,248,249,240,,
1,74,"None","B",3,224,0.8973,243.1175595,1,245,246,237,,
1,74,"None","B",4,206,0.9272,245.1343042,1.1,247,247,239,,
1,74,"None","B",5,201,0.9353,248.8175788,1.1,251,251,243,,
1,74,"None","B",6,201,0.9303,247.7180763,0.5,249,250,243,,
1,74,"None","B",7,202,0.9257,249.339934,0.6,251,251,245,,
1,74,"None","B",8,205,0.9902,244.1349593,0.3,245,246,239,,
1,74,"None","B",9,193,0.9585,246.1658031,0.6,248,248,241,,
1,74,"None","B",10,197,0.9391,246.5093063,1.1,248,248,242,,
1,74,"None","B",11,200,0.94,246.7666667,0.5,248,249,242,,
1,74,"None","B",12,197,0.9442,246.2707276,0.4,248,248,241,,
1,74,"None","B",13,205,0.9707,242.6699187,0.8,244,245,237,,
1,74,"None","B",14,202,0.9257,245.3349835,0.7,247,247,240,,
1,74,"None","B",15,193,0.9378,242.3108808,0.7,244,244,237,,
1,74,"None","B",16,167,0.976,239.1477046,1.3,241,241,234,,
1,74,"None","B",17,174,0.9138,242.6226054,0.7,244,245,237,,
1,74,"None","B",18,199,0.8844,243.3902848,1.5,246,246,237,,
1,74,"None","B",19,189,0.9206,246.8430335,1.3,249,250,240,,
1,74,"None","B",20,175,0.9371,230.6438095,1.5,233,233,224,,
1,74,"None","B",21,180,0.8833,232.1481481,1.6,235,235,225,,
1,74,"None","B",22,151,0.8874,239.0198675,1.7,242,242,232,,
1,74,"None","B",23,150,0.9333,247.0866667,1.9,250,250,239,2,
1,74,"None","B",24,178,0.9213,240.6910112,1.4,244,244,233,2,
1,74,"None","C",1,247,0.9028,236.6707152,0.8,239,239,231,,
1,74,"None","C",2,180,0.8722,240.0166667,1.2,242,243,234,,
1,74,"None","C",3,209,0.9474,239.0366826,0.8,241,242,233,,
1,74,"None","C",4,150,0.8867,246.1488889,0.9,248,248,240,,
1,74,"None","C",5,163,0.9264,251.3476483,1.3,253,253,246,,
1,74,"None","C",6,188,0.9309,247.5035461,0.3,249,250,242,,
1,74,"None","C",7,150,0.9067,246.3822222,0.7,248,248,242,,
1,74,"None","C",8,158,0.962,250.0759494,0.9,252,252,245,,
1,74,"None","C",9,173,0.9653,245.8381503,0.6,247,248,241,,
1,74,"None","C",10,168,0.9821,248.6904762,0.5,250,251,244,,
1,74,"None","C",11,202,0.9208,246.9867987,0.7,248,249,243,,
1,74,"None","C",12,103,0.9223,238.8220065,1,241,241,234,,
1,74,"None","C",13,177,0.9153,246.1468927,0.6,247,248,242,,
1,74,"None","C",14,195,0.9333,247.6034188,-0.1,249,250,243,,
1,74,"None","C",15,143,0.9231,249.6177156,0.6,251,252,244,,
1,74,"None","C",16,176,0.9261,239.969697,1,242,242,234,,
1,74,"None","C",17,173,0.9364,237.9055877,1.5,240,240,232,,
1,74,"None","C",18,182,0.8791,238.489011,1.2,241,241,232,,
1,74,"None","C",19,149,0.906,240.98434,1.3,243,244,234,,
