Plant line,Date,Time,Digital biomass,Greenness,Plant height,Hue,Leaf angle,Leaf area,Leaf area index,Projected leaf area,Leaf inclination,Light penetration depth,NDVI,NPCI,PSRI
10-01-01 AM,2019_6_8,11-43-43 AM,1738210,0.34924,211.561,105.523,56.73,8216.09,0.051,6885.17,1.19602,85.644,0.61845,0.20398,0.0721
10-01-01 AM,2019_6_9,11-43-47 AM,2240160,0.32839,225.05,106.143,51.481,9954.03,0.062,7777.9,1.2781,96.255,0.59943,0.19058,0.07255
10-01-01 AM,2019_6_10,11-43-51 AM,3297400,0.37061,247.013,104.418,58.586,13349.1,0.083,11399.2,1.17175,111.481,0.63673,0.22432,0.07416
10-01-01 AM,2019_6_11,11-43-55 AM,4186860,0.33275,275.108,106.928,56.453,15219,0.095,12678.4,1.19985,140.371,0.62245,0.17481,0.06208
10-01-01 AM,2019_6_12,11-43-58 AM,4261940,0.37419,292.934,103.121,55.414,14549.2,0.091,11959.8,1.21465,138.313,0.64337,0.252,0.07911
10-01-01 AM,2019_6_13,11-44-02 AM,5245310,0.3362,314.395,105.517,59.179,16683.8,0.104,14329.6,1.16445,139.864,0.62123,0.18294,0.06743
10-01-01 AM,2019_6_14,11-44-06 AM,6125460,0.3374,344.901,104.755,60.58,17760.1,0.111,15479.6,1.14804,151.026,0.62064,0.19072,0.07044
10-01-01 AM,2019_6_15,11-44-09 AM,6791060,0.3379,341.243,103.708,57.448,19901,0.124,16772.6,1.18636,152.08,0.61253,0.20836,0.07742
10-01-01 AM,2019_6_16,11-44-14 AM,8113610,0.35269,423.715,102.996,53.869,19148.7,0.12,15388.6,1.23811,158.109,0.61579,0.22767,0.08327
10-01-01 AM,2019_6_17,11-44-17 AM,8661860,0.38567,442.151,103.563,49.554,19590.3,0.122,14904.3,1.31401,177.343,0.62866,0.24754,0.08392
10-01-01 AM,2019_6_18,11-44-21 AM,9217900,0.38356,448.929,103.085,50.855,20533.1,0.128,15908.5,1.28939,190.469,0.61991,0.25001,0.08737
10-01-01 AM,2019_6_19,11-52-15 AM,12161200,0.38841,508.711,102.302,56.826,23905.9,0.149,19982.3,1.19471,249.363,0.61119,0.25521,0.09428
10-01-01 AM,2019_6_20,11-52-19 AM,14271600,0.40191,549.055,102.366,51.264,25993,0.162,20176.5,1.28197,291.442,0.62634,0.26683,0.09075
10-01-01 AM,2019_6_21,11-52-23 AM,14956900,0.40154,564.294,102.323,55.668,26505.6,0.166,21609.2,1.21096,242.668,0.63182,0.26085,0.08846
10-01-01 AM,2019_6_22,11-52-27 AM,18433800,0.38708,571.405,103.318,55.206,32260.4,0.202,26139.6,1.2177,309.119,0.62561,0.24176,0.08345
10-01-01 AM,2019_6_23,11-52-31 AM,21398500,0.39438,585.505,102.528,56.831,36547.1,0.228,30165.2,1.19465,230.801,0.63512,0.25234,0.08441
10-01-01 AM,2019_6_24,10-50-58 AM,16734200,0.41294,590.382,102.91,57.606,28344.8,0.177,23830.4,1.18428,204.248,0.66312,0.26384,0.07876
10-01-01 AM,2019_6_25,10-50-17 AM,20092500,0.38695,602.834,104.325,60.44,33330,0.208,28542.1,1.14963,218.844,0.65497,0.21906,0.07036
10-01-01 AM,2019_6_26,10-50-21 AM,19868500,0.37624,596.885,104.904,62.534,33287.1,0.208,29033.1,1.12702,203.291,0.65333,0.20008,0.0653
10-01-01 AM,2019_6_27,12-28-26 PM,18404000,0.38202,596.188,104.816,58.712,30869.5,0.193,26105.5,1.17017,172.345,0.66726,0.20407,0.06275
10-01-01 AM,2019_6_28,12-28-08 PM,24318500,0.39256,602.7,105.368,54.75,40349.3,0.252,32551,1.22451,205.665,0.6669,0.20947,0.0643
10-01-01 AM,2019_6_29,12-28-12 PM,24955200,0.3753,605.872,106.23,58.781,41188.9,0.257,34399.5,1.16931,211.909,0.65978,0.18647,0.05885
10-01-01 AM,2019_6_30,12-28-15 PM,25626800,0.36855,611.634,106.008,56.337,41898.9,0.262,33761.9,1.20146,192.707,0.65583,0.18505,0.05883
10-01-01 AM,2019_7_1,12-28-20 PM,27369700,0.35712,611.121,105.844,56.85,44786.1,0.28,35526.3,1.19439,229.823,0.65013,0.18803,0.0594
10-01-01 AM,2019_7_2,12-28-23 PM,21255800,0.34725,608.407,104.968,59.692,34936.7,0.218,28448.4,1.1583,355.897,0.65133,0.1961,0.05886
10-01-01 AM,2019_7_3,11-56-11 AM,23588600,0.36751,548.029,103.014,57.644,43042.6,0.269,36100.4,1.18378,222.484,0.64402,0.23372,0.07613
10-03-01 AM,2019_6_8,11-43-43 AM,1112740,0.3525,122.8,105.646,62.147,9061.36,0.057,8011.08,1.13102,17.912,0.63888,0.20932,0.06854
10-03-01 AM,2019_6_9,11-43-47 AM,1513850,0.32864,145.253,107.566,52.366,10422.2,0.065,8241.57,1.26273,29.943,0.63788,0.1841,0.05927
10-03-01 AM,2019_6_10,11-43-51 AM,1928280,0.3614,154.054,103.769,61.743,12516.9,0.078,11039.8,1.13528,40.245,0.66114,0.24119,0.07018
10-03-01 AM,2019_6_11,11-43-55 AM,2036730,0.31872,161.764,105.737,58.286,12590.7,0.079,10697.8,1.17552,44.467,0.64571,0.19377,0.06143
10-03-01 AM,2019_6_12,11-43-58 AM,2375550,0.35231,177.907,103.088,60.192,13352.8,0.083,11584.8,1.15246,53.586,0.66466,0.24361,0.07016
10-03-01 AM,2019_6_13,11-44-02 AM,2985860,0.3259,197.99,106.293,62.149,15080.9,0.094,13340.1,1.131,84.4,0.6472,0.18627,0.05976
10-03-01 AM,2019_6_14,11-44-06 AM,4149540,0.33063,223.034,104.314,60.891,18605,0.116,16247.8,1.14455,96.424,0.64612,0.20824,0.06673
10-03-01 AM,2019_6_15,11-44-09 AM,3304150,0.31292,219.243,105.923,49.358,15070.7,0.094,11456,1.31786,94.992,0.63343,0.19068,0.06302
10-03-01 AM,2019_6_16,11-44-14 AM,4668400,0.31865,273.715,104.448,47.067,17055.7,0.107,12493,1.36582,162.44,0.62856,0.21086,0.0695
10-03-01 AM,2019_6_17,11-44-17 AM,6161510,0.32734,305.313,103.843,51.065,20180.9,0.126,15687,1.28556,188.881,0.63563,0.21786,0.07081
