Date,Latitude,Longitude,Country,Gear type,Vessel hour,Fishing hour
1/13/2012,-4608,-6587,ARG,fixed_gear,0.775,0
1/13/2012,-4608,-6595,ARG,fixed_gear,1.560972222,0
1/13/2012,-4094,-6490,ARG,trawlers,1.799027778,0
1/13/2012,-3837,-5770,ARG,trawlers,3.053194444,0
1/13/2012,-3836,-5769,ARG,trawlers,0.076527778,0
1/13/2012,-4091,-6000,ARG,trawlers,1.583611111,0
1/13/2012,-3835,-5768,ARG,trawlers,3.141388889,0
1/13/2012,-4602,-6574,ARG,fixed_gear,4.0375,0
1/13/2012,-4602,-6573,ARG,fixed_gear,3.898194444,0
1/13/2012,-3834,-5752,ARG,trawlers,4.954722222,0
1/13/2012,-4601,-6590,ARG,fixed_gear,0.807083333,0
1/13/2012,-4601,-6589,ARG,fixed_gear,3.853472222,0
1/13/2012,-4089,-5984,ARG,trawlers,2.415277778,0
1/13/2012,-3833,-5752,ARG,trawlers,0.043055556,0
1/13/2012,-3832,-5752,ARG,trawlers,3.935972222,0
1/13/2012,-4340,-5970,ARG,trawlers,0.815,0
1/13/2012,-4339,-5970,ARG,trawlers,0.76375,0
1/13/2012,-4593,-6066,ARG,trawlers,10.75222222,0
1/13/2012,-4080,-6489,ARG,other_fishing,6.479305556,0
1/13/2012,-4073,-6494,ARG,trawlers,23.06791667,0
1/13/2012,-4579,-6063,ARG,trawlers,12.36819444,0
1/13/2012,-4579,-6062,ARG,trawlers,6.789861111,0
1/13/2012,-3811,-5748,ARG,trawlers,3.880416667,0
1/13/2012,-4578,-6069,ARG,trawlers,11.56972222,0
1/13/2012,-3810,-5748,ARG,trawlers,1.075555556,0
1/13/2012,-4319,-5962,ARG,trawlers,3.203194444,0
1/13/2012,-4574,-6067,ARG,squid_jigger,16.75,16.75
1/13/2012,-3805,-5754,ARG,drifting_longlines,57.04763889,0
1/13/2012,-3805,-5755,ARG,trawlers,4.03375,0
1/13/2012,-3805,-5754,ARG,trawlers,82.27388889,0
1/13/2012,-4571,-6625,ARG,fixed_gear,4.723472222,0
1/13/2012,-4571,-6624,ARG,fixed_gear,4.020694444,0
1/13/2012,-4570,-6064,ARG,trawlers,17.50388889,0
1/13/2012,-4568,-6064,ARG,squid_jigger,5.225416667,0
1/13/2012,-4566,-6636,ARG,fixed_gear,0.4225,0
1/13/2012,-4566,-6635,ARG,fixed_gear,0.483055556,0
1/13/2012,-4565,-6181,ARG,trawlers,0.813472222,0
1/13/2012,-4564,-6181,ARG,trawlers,9.130416667,0
1/13/2012,-4564,-6635,ARG,fixed_gear,0.798888889,0
1/13/2012,-4563,-6633,ARG,fixed_gear,1.143055556,0
1/13/2012,-4561,-6632,ARG,fixed_gear,4.372361111,0
1/13/2012,-4048,-5846,ARG,trawlers,4.683055556,0
1/13/2012,-4048,-5944,ARG,trawlers,1.980694444,0
1/13/2012,-4559,-6629,ARG,fixed_gear,0.791527778,0
1/13/2012,-4559,-6630,ARG,fixed_gear,0.844722222,0
1/13/2012,-4556,-6174,ARG,trawlers,5.190694444,0
1/13/2012,-4044,-5950,ARG,trawlers,1.64,0
1/13/2012,-4555,-6632,ARG,fixed_gear,9.894305556,0
1/13/2012,-4550,-6185,ARG,trawlers,0.034722222,0
1/13/2012,-4550,-6186,ARG,trawlers,3.910972222,0
1/13/2012,-4038,-5936,ARG,trawlers,0.783333333,0
1/13/2012,-4549,-6185,ARG,trawlers,0.045833333,0
1/13/2012,-4549,-6178,ARG,trawlers,0.776111111,0
1/13/2012,-4549,-6184,ARG,trawlers,3.576388889,0
1/13/2012,-4293,-5951,ARG,trawlers,1.231111111,0
1/13/2012,-4548,-6177,ARG,trawlers,0.8275,0
1/13/2012,-4033,-5941,ARG,trawlers,3.8925,0
1/13/2012,-4544,-6199,ARG,trawlers,4.728472222,0
1/13/2012,-4032,-5940,ARG,trawlers,3.068888889,0
1/13/2012,-4032,-5941,ARG,trawlers,0.041666667,0
1/13/2012,-4543,-6199,ARG,trawlers,3.595138889,0
1/13/2012,-4027,-5926,ARG,trawlers,0.445694444,0
1/13/2012,-4538,-6174,ARG,trawlers,1.215416667,0
1/13/2012,-4538,-6166,ARG,trawlers,6.044305556,0
1/13/2012,-4026,-5926,ARG,trawlers,0.44875,0
1/13/2012,-4537,-6174,ARG,trawlers,0.829722222,0
1/13/2012,-4279,-5945,ARG,trawlers,0.441805556,0
1/13/2012,-4279,-5944,ARG,trawlers,3.959722222,0
1/13/2012,-4533,-6159,ARG,trawlers,1.616666667,0
1/13/2012,-4019,-5928,ARG,trawlers,1.068333333,0
1/13/2012,-4274,-6503,ARG,trawlers,30.68777778,0
1/13/2012,-4784,-6565,ARG,drifting_longlines,10.73597222,0
1/13/2012,-4784,-6563,ARG,drifting_longlines,1.600416667,0
1/13/2012,-4015,-5916,ARG,trawlers,1.33625,0
1/13/2012,-4526,-6120,ARG,trawlers,0.786805556,0
